BLOCK_ID,STREET_BLOCK,METER_CLASS,DATE_TYPE,TIME_BAND_ID,LAST_RATE,OCCUPANCY_PCT,PROPOSED_RATE_CHG,NEW_RATE,ADJUSTED_RATE,FINAL_RATE,EXCEPTION_REASON,PMT_RATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,Pier 52 Lot,Commercial,Weekday,1,$3.75,0,$0.00,3.75,3.75,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,Pier 52 Lot,Commercial,Weekday,2,$1.00,0,$0.00,1,1,$1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,Pier 52 Lot,Commercial,Weekday,3,$1.00,0,$0.00,1,1,$1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,Pier 52 Lot,Commercial,Weekday,4,$1.00,0,$0.00,1,1,$1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,Pier 52 Lot,GMP,Weekday,1,$4.00,87,$0.25,4.25,4.25,$4.25,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,Pier 52 Lot,GMP,Weekday,2,$1.00,74,$0.00,1,1,$1.00,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,Pier 52 Lot,GMP,Weekday,3,$1.00,68,$0.00,1,1,$1.00,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,Pier 52 Lot,GMP,Weekday,4,$1.00,73,$0.00,1,1,$1.00,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,Pier 52 Lot,Commercial,Weekend,1,$1.00,0,$0.00,1,1,$1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,Pier 52 Lot,Commercial,Weekend,2,$1.00,0,$0.00,1,1,$1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,Pier 52 Lot,Commercial,Weekend,3,$1.00,0,$0.00,1,1,$1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,Pier 52 Lot,Commercial,Weekend,4,$1.00,0,$0.00,1,1,$1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,Pier 52 Lot,GMP,Weekend,1,$1.00,58,$0.00,0.75,1,$1.00,Minimum rate rule applied,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,Pier 52 Lot,GMP,Weekend,2,$1.00,70,$0.00,1,1,$1.00,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,Pier 52 Lot,GMP,Weekend,3,$1.00,57,$0.00,0.75,1,$1.00,Minimum rate rule applied,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,Pier 52 Lot,GMP,Weekend,4,$1.00,55,$0.00,0.75,1,$1.00,Minimum rate rule applied,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,24th and Capp Lot,GMP,Weekend,4,$2.50,0,$0.00,2.5,2.5,$2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,24th and Capp Lot,GMP,Weekend,3,$2.50,0,$0.00,2.5,2.5,$2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,24th and Capp Lot,GMP,Weekend,2,$2.50,0,$0.00,2.5,2.5,$2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,24th and Capp Lot,GMP,Weekend,1,$2.00,0,$0.00,2,2,$2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,24th and Capp Lot,Commercial,Weekday,4,$2.50,,$0.00,,2.5,$2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,24th and Capp Lot,Commercial,Weekday,1,$2.50,,$0.00,,2.5,$2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,24th and Capp Lot,Commercial,Weekday,2,$2.50,,$0.00,,2.5,$2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
